sample_idx,original_class,original_class_name,target_class,target_class_name,predicted_class,predicted_class_name,subject_id,injured_leg,valid,confidence,iterations,time_seconds,imu_l2,imu_l1,imu_changed_pct,imu_channels_changed,sensor_groups_changed,modality_groups_changed,changed_sensor_groups,changed_modality_groups,imu_temporal_grad
656,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,16,left,True,0.9999618530273438,500,11.90839672088623,78.55848770266549,2903.987014277055,6.439713322091062,28,7,10,RF_R; Ham_R; TA_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_gyr; TA_R_acc; RF_L_gyr; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.027081673384665963
143,8,Walking - Hip abduction,6,Walking - Correct,6,Walking - Correct,18,left,True,0.7994170188903809,500,8.543364524841309,70.76975292664297,1909.6722562832715,3.449971894322653,23,6,8,RF_R; Ham_R; TA_R; Gast_R; TA_L; Gast_L,RF_R_gyr; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; TA_L_acc; Gast_L_acc,0.022522706829792245
466,1,Squat - Weight transfer,0,Squat - Correct,0,Squat - Correct,1,left,True,0.7742095589637756,500,9.088318824768066,35.86476440380157,729.2582080585455,1.7566048341765037,16,6,9,RF_R; Ham_R; Gast_R; RF_L; Ham_L; TA_L,RF_R_gyr; Ham_R_acc; Ham_R_gyr; Gast_R_acc; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc,0.005989135209653765
506,8,Walking - Hip abduction,6,Walking - Correct,6,Walking - Correct,6,left,True,0.9955381155014038,500,8.756142139434814,119.15505327937774,6389.1933135898435,19.631815626756605,18,4,6,RF_R; TA_R; RF_L; Gast_L,RF_R_acc; RF_R_gyr; TA_R_acc; RF_L_gyr; Gast_L_acc; Gast_L_gyr,0.07531020321480462
533,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,28,right,True,0.7175522446632385,500,8.967271566390991,19.65086654601771,547.5380813217407,3.2145868465430016,10,5,6,RF_R; Ham_R; Gast_R; TA_L; Gast_L,RF_R_acc; Ham_R_acc; Ham_R_gyr; Gast_R_acc; TA_L_acc; Gast_L_acc,0.003083142234036783
486,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,17,left,True,0.905972421169281,500,9.05638337135315,64.07809877797516,1621.5102273298235,2.6068015739179313,16,5,7,RF_R; TA_R; Gast_R; TA_L; Gast_L,RF_R_gyr; TA_R_gyr; Gast_R_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.009539054346210852
366,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,29,right,True,0.9425151348114014,500,8.429573059082031,33.884842797210915,1544.4848147773134,16.18184373243395,18,3,6,Ham_R; TA_R; Gast_R,Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr,0.012986390018204027
149,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,7,right,True,0.8309603333473206,500,9.147362232208252,34.72078481553256,508.876314274708,0.7834457560427206,2,2,2,TA_L; Gast_L,TA_L_acc; Gast_L_acc,0.0009197778755159255
719,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,29,right,True,0.7025464773178101,500,10.307162761688232,35.88142470755272,1048.1932746940033,3.748594716132659,17,4,7,RF_R; Ham_R; TA_R; Gast_R,RF_R_acc; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr,0.0035012210760133025
672,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,5,Leg Extension - Lifting limb,19,right,False,0.0034067374654114246,1436,26.167181730270386,39.75441470436128,3702.312785500963,99.70489038785834,48,8,16,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.029935671309965096
