sample_idx,original_class,original_class_name,target_class,target_class_name,predicted_class,predicted_class_name,subject_id,injured_leg,valid,confidence,iterations,time_seconds,imu_l2,imu_l1,imu_changed_pct,imu_channels_changed,sensor_groups_changed,modality_groups_changed,changed_sensor_groups,changed_modality_groups,imu_temporal_grad
572,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,4,right,True,0.9622645974159241,500,13.312763214111328,39.68081924094975,622.9303490439361,1.0328836424957841,15,6,10,RF_R; Ham_R; TA_R; Gast_R; TA_L; Gast_L,RF_R_gyr; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.0066623812341558486
522,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,4,right,True,0.9342901110649109,500,10.916459560394287,43.440397753580704,984.3584642629901,1.984963462619449,9,3,5,RF_R; TA_R; Gast_R,RF_R_acc; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr,0.0020839397628502356
128,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,21,right,True,0.9503032565116882,500,6.376594305038452,71.19206836040856,1241.0852027750193,1.2261101742551996,15,6,9,RF_R; TA_R; Gast_R; Ham_L; TA_L; Gast_L,RF_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_gyr; Ham_L_acc; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.011002250437699122
416,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,30,left,True,0.7443023324012756,1164,18.933192014694214,74.68209450441778,4778.1785860432765,21.52894884766723,32,7,11,RF_R; Ham_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_gyr; Ham_R_acc; Gast_R_acc; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.012174316682818395
628,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,6,left,True,0.9480187892913818,500,6.229088544845581,33.786278024933836,1197.3260374049369,6.696177627880832,28,8,12,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; Ham_R_acc; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; Gast_L_acc,0.009118745459079938
680,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,6,left,True,0.7390521764755249,500,6.228895425796509,56.73760545903048,1028.0892306373307,1.398257448004497,19,6,11,RF_R; Ham_R; TA_R; Gast_R; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.00968222180179011
410,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,30,left,True,0.7909652590751648,500,6.228360891342163,61.65987193209417,2557.29191271297,7.785272625070264,16,7,8,Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,Ham_R_acc; TA_R_acc; Gast_R_acc; RF_L_acc; Ham_L_acc; Ham_L_gyr; TA_L_acc; Gast_L_acc,0.005568080688909091
303,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,5,Leg Extension - Lifting limb,28,right,False,0.0006453175446949899,1391,16.877925872802734,58.48395896344782,5566.0869596428,74.880550871276,36,7,12,RF_R; Ham_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Gast_R_acc; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.033608962623943715
130,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,21,right,True,0.9420082569122314,500,6.291639089584351,80.6583087393758,2520.4096805607546,5.958403597526701,36,7,12,RF_R; Ham_R; TA_R; Gast_R; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; Ham_L_acc; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.03352292773245041
645,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,5,Leg Extension - Lifting limb,6,left,False,0.008570154197514057,1315,16.078805208206177,63.41322784666006,5856.882134484267,74.90163012928612,36,7,12,RF_R; Ham_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Gast_R_acc; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.03661520620274705
