sample_idx,original_class,original_class_name,target_class,target_class_name,predicted_class,predicted_class_name,subject_id,injured_leg,valid,confidence,iterations,time_seconds,imu_l2,imu_l1,imu_changed_pct,imu_channels_changed,sensor_groups_changed,modality_groups_changed,changed_sensor_groups,changed_modality_groups,imu_temporal_grad
656,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,16,left,True,0.8178032040596008,933,17.0471830368042,50.35144126738576,1060.1470887920814,2.0587408656548623,38,8,15,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.022512447385300643
143,8,Walking - Hip abduction,6,Walking - Correct,6,Walking - Correct,18,left,True,0.8327736258506775,1052,16.303675651550293,73.64839553883782,1651.278772267554,2.6700393479482853,43,8,16,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.034597763529284266
466,1,Squat - Weight transfer,0,Squat - Correct,0,Squat - Correct,1,left,True,0.9875903129577637,869,13.687552213668823,41.300114041834696,1065.39257453826,3.1302698145025296,31,8,16,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.01460870651780856
506,8,Walking - Hip abduction,6,Walking - Correct,6,Walking - Correct,6,left,True,0.9469335675239563,1079,16.740999460220337,58.63858818732976,1047.4718029270512,1.5598650927487352,34,8,15,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.027391974724830327
533,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,28,right,True,0.9851085543632507,832,13.159153699874878,23.12672253211038,828.7304097020764,5.972456436200113,25,7,12,RF_R; Ham_R; TA_R; Gast_R; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; Gast_L_acc,0.008116267089068482
486,7,Walking - No full extension,6,Walking - Correct,7,Walking - No full extension,17,left,False,0.4527817666530609,1079,16.520837783813477,57.28732443300135,1542.2492956437968,3.23566610455312,37,8,16,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.030096929724587534
366,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,29,right,True,0.9848096966743469,669,10.313526391983032,30.87151092527388,1130.8916757196648,6.685637998875774,22,7,11,RF_R; Ham_R; TA_R; Gast_R; RF_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; TA_L_acc; Gast_L_acc,0.008315374967555585
149,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,7,right,True,0.9949701428413391,762,12.369001388549805,40.658638741356405,909.2149724886904,2.0692804946599215,11,5,8,TA_R; Gast_R; Ham_L; TA_L; Gast_L,TA_R_acc; Gast_R_acc; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.00715585691497743
719,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,29,right,True,0.9894318580627441,814,13.552170991897583,35.688078318455915,1317.0976985330624,6.597807757166947,23,6,10,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; Ham_L_acc,0.009365112003766524
672,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,5,Leg Extension - Lifting limb,19,right,False,1.5915141204914107e-08,234,3.617433547973633,3.923215664678216e-06,0.0003704077905168654,0.0,0,0,0,none,none,1.6104089890993026e-08
