sample_idx,original_class,original_class_name,target_class,target_class_name,predicted_class,predicted_class_name,subject_id,injured_leg,valid,confidence,iterations,time_seconds,imu_l2,imu_l1,imu_changed_pct,imu_channels_changed,sensor_groups_changed,modality_groups_changed,changed_sensor_groups,changed_modality_groups,imu_temporal_grad
656,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,16,left,True,0.9995133876800537,119,8.651190519332886,98.58217385187895,6656.7390483617055,48.506885890949974,27,5,9,Ham_R; TA_R; Gast_R; TA_L; Gast_L,Ham_R_acc; Ham_R_gyr; TA_R_acc; Gast_R_acc; Gast_R_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.15619353363513236
143,8,Walking - Hip abduction,6,Walking - Correct,6,Walking - Correct,18,left,True,0.9995087385177612,120,6.959038496017456,114.58894521086803,7444.962369132692,48.12394603709949,27,6,9,Ham_R; TA_R; Gast_R; RF_L; TA_L; Gast_L,Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_gyr; TA_L_acc; Gast_L_acc; Gast_L_gyr,0.1732503088374108
466,1,Squat - Weight transfer,0,Squat - Correct,0,Squat - Correct,1,left,True,0.9927405714988708,200,8.290122270584106,50.895548242767404,2965.072861123625,41.20643620011242,27,7,9,RF_R; Ham_R; TA_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_gyr; TA_R_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_gyr; Gast_L_acc,0.05940191301451359
506,8,Walking - Hip abduction,6,Walking - Correct,6,Walking - Correct,6,left,True,0.9994331002235413,200,3.1687445640563965,100.26351153419782,6738.029766170587,48.16610455311973,27,6,9,Ham_R; TA_R; Gast_R; RF_L; TA_L; Gast_L,Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_gyr; TA_L_acc; Gast_L_acc; Gast_L_gyr,0.16846618839921687
533,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,28,right,True,0.9913703203201294,200,7.835983037948608,28.851975634703397,2087.343660450838,44.47020798201237,27,5,9,RF_R; Ham_R; TA_R; Gast_R; TA_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; TA_L_acc,0.040691218863609865
486,7,Walking - No full extension,6,Walking - Correct,7,Walking - No full extension,17,left,False,0.0003445456677582115,100,1.672267198562622,90.13095847000561,7102.755915121206,56.19027543563801,27,5,9,Ham_R; TA_R; Gast_R; TA_L; Gast_L,Ham_R_acc; Ham_R_gyr; TA_R_acc; Gast_R_acc; Gast_R_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.18220219303415647
366,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,29,right,True,0.9828839898109436,200,3.0510170459747314,31.18370233362957,2005.5035979083898,44.46669477234401,27,5,9,RF_R; Ham_R; TA_R; Gast_R; TA_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; TA_L_acc,0.03815433936567721
149,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,7,right,True,0.9962165951728821,200,8.452173233032227,43.26618104780937,2209.6530725367716,42.37984822934233,27,6,9,RF_R; Ham_R; Gast_R; Ham_L; TA_L; Gast_L,RF_R_acc; Ham_R_acc; Gast_R_acc; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.04051528552433049
719,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,29,right,True,0.992586076259613,200,3.1645984649658203,39.02044058462948,2635.061649561668,45.02178189994379,27,5,9,RF_R; Ham_R; TA_R; Gast_R; TA_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; TA_L_acc,0.045091835532392446
672,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,5,Leg Extension - Lifting limb,19,right,False,5.574083115789108e-05,100,1.6772065162658691,34.864064609602806,2293.0936111472693,55.701939291736934,27,5,9,RF_R; Ham_R; TA_R; Gast_R; TA_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; TA_L_acc,0.05811539148230733
